"","jsw","kgh","kru","pge","mbk","pkn"
"2013-10-08",69.247,101.82,55.4172,14.799,445.99,25.7007
"2013-10-09",68.348,102.43,54.5265,14.965,441.32,25.8485
"2013-10-10",70.809,106.187,55.2669,15.194,469.01,26.1369
"2013-10-11",70.373,104.986,55.5676,15.37,490.99,26.7627
"2013-10-14",68.641,104.137,55.5676,15.591,490.99,26.6849
"2013-10-15",67.969,105.156,55.795,15.635,478.57,26.602
"2013-10-16",65.934,105.757,56.0966,15.767,499.59,26.94
"2013-10-17",64.372,104.089,57.2209,15.458,496.72,26.5328
"2013-10-18",64.892,103.574,61.1563,15.556,488.6,26.3493
"2013-10-21",65.839,105.586,61.1563,16.013,510.19,27.1158
"2013-10-22",64.514,105.633,62.1373,16.516,501.54,27.2338
"2013-10-23",63.633,103.621,62.6654,16.56,500.92,26.9972
"2013-10-24",63.993,105.156,64.9246,16.692,494.81,27.1805
"2013-10-25",62.952,103.965,66.063,16.56,499.1,26.4497
"2013-10-28",64.75,105.071,66.8176,16.358,488.6,26.6439
"2013-10-29",64.75,105.919,66.8176,16.031,484.3,26.9972
"2013-10-30",64.173,106.138,63.4218,16.348,485.06,26.6568
"2013-10-31",63.094,106.31,62.1453,15.855,487.17,25.6422
"2013-11-04",63.207,106.654,65.3227,16.252,489.07,25.9367
"2013-11-05",61.721,105.338,63.4218,15.626,482.39,26.1133
"2013-11-06",62.384,106.691,64.1392,15.749,484.01,26.1431
"2013-11-07",62.289,106.101,64.477,15.855,482.39,26.0547
"2013-11-08",62.346,105.423,64.5531,15.706,481.44,25.9367
"2013-11-12",61.588,102.43,63.5712,15.865,485.26,25.6718
"2013-11-13",58.881,97.4344,63.4218,15.996,482.39,25.3772
"2013-11-14",59.638,98.9316,64.929,16.119,491.94,25.6475
"2013-11-15",60.055,102.01,66.7424,16.384,497.67,26.5266
"2013-11-18",62.715,104.041,67.6111,17.089,527.76,27.2909
"2013-11-19",62.166,102.859,67.7615,16.674,533.02,27.3799
"2013-11-20",64.315,103.879,69.1582,16.472,532.02,26.9499
"2013-11-21",63.245,102.812,68.8565,16.225,518.21,26.4666
"2013-11-22",64.656,103.621,68.3285,16.199,530.25,27.0862
"2013-11-25",65.318,104.861,67.573,16.516,542.57,27.7826
"2013-11-26",65.224,104.041,67.65,16.076,539.71,27.1158
"2013-11-27",64.343,103.279,67.573,16.34,534.93,27.6981
"2013-11-28",63.397,99.8554,66.063,16.375,536.84,27.7058
"2013-11-29",62.611,101.105,66.584,16.49,532.07,28.2356
"2013-12-02",60.585,99.0168,67.7615,16.137,515.82,27.8222
"2013-12-03",58.966,96.872,67.1581,16.252,511.05,26.9972
"2013-12-04",58.228,97.0531,66.4407,15.961,491.75,27.01
"2013-12-05",57.508,95.5943,65.6854,15.679,491.94,26.6325
"2013-12-06",58.976,96.2808,66.7424,15.3,490.47,26.7734
"2013-12-09",58.976,98.1685,66.4407,15.106,490.22,26.7627
"2013-12-10",58.218,99.694,64.929,15.239,484.3,26.3493
"2013-12-11",56.988,99.0168,61.91,14.782,477.61,26.3432
"2013-12-12",57.622,97.1866,60.5743,14.887,481.44,26.2321
"2013-12-13",57.272,98.1208,60.3249,14.877,482.72,26.1187
"2013-12-16",56.846,97.9397,59.872,15.204,480.48,25.8187
"2013-12-17",55.36,97.5583,59.3439,14.729,483.34,24.7394
"2013-12-18",54.432,98.588,60.8229,15.151,484.3,24.3458
"2013-12-19",52.946,98.1685,61.1563,14.975,471.88,23.8853
"2013-12-20",51.119,97.3009,60.5522,15.212,471.02,23.8738
